purchase_order_id,purchase_order_item_no,quantity,delivery_date,product_id,product_version,created_date_time,modified_date_time,unit_id,unit,status_id,status
1,1,-14.0,2003-05-12 00:00:00.0000000 +02:00,91900143,1,2003-05-12 10:00:48.0000000 +00:00,2004-06-15 06:16:18.0000000 +00:00,,,2,Closed
22,1,23880.0,2003-05-27 00:00:00.0000000 +02:00,91900160,1,2003-05-27 12:42:07.0000000 +00:00,2012-06-29 09:41:13.0000000 +00:00,,,2,Closed
41,1,0.0,2004-03-08 00:00:00.0000000 +01:00,91900143,1,2004-03-08 13:44:31.0000000 +00:00,2012-07-04 13:51:02.0000000 +00:00,,,2,Closed
61,1,0.0,2004-03-10 00:00:00.0000000 +01:00,91900143,1,2004-03-10 11:39:06.0000000 +00:00,2012-07-04 13:50:59.0000000 +00:00,,,2,Closed
141,10,25000.0,2004-10-28 00:00:00.0000000 +02:00,91900143,1,2004-10-22 12:21:54.0000000 +00:00,2012-07-04 13:50:55.0000000 +00:00,,,2,Closed
161,10,6000.0,2005-03-11 00:00:00.0000000 +01:00,91900143,1,2005-03-11 13:53:25.0000000 +00:00,2012-07-04 13:50:49.0000000 +00:00,,,2,Closed
161,20,15000.0,2006-03-27 00:00:00.0000000 +02:00,91900143,1,2006-03-27 11:04:44.0000000 +00:00,2012-07-04 13:50:52.0000000 +00:00,,,2,Closed
361,10,150000.0,2012-07-31 00:00:00.0000000 +02:00,91900296,1,2012-07-04 13:53:29.0000000 +00:00,2014-07-29 10:58:02.0000000 +00:00,,,2,Closed
361,20,150000.0,2012-07-31 00:00:00.0000000 +02:00,91900170,1,2012-07-04 13:55:14.0000000 +00:00,2014-07-29 10:58:03.0000000 +00:00,,,2,Closed
361,30,150000.0,2012-07-31 00:00:00.0000000 +02:00,91901050,1,2012-07-09 07:52:43.0000000 +00:00,2014-07-29 10:58:05.0000000 +00:00,,,2,Closed
363,10,150000.0,2012-07-31 00:00:00.0000000 +02:00,91900296,1,2012-07-04 13:58:15.0000000 +00:00,2014-09-03 08:09:08.0000000 +00:00,,,2,Closed
363,20,150000.0,2012-07-31 00:00:00.0000000 +02:00,91900170,1,2012-07-04 13:59:10.0000000 +00:00,2014-09-03 08:09:12.0000000 +00:00,,,2,Closed
